,RNTC,Tprobe,Tcalc,A,B,C,T1,R1,T2,R2,T3,R3
121,8234.002293577982,70.04706,70.04706000000004,0.0010148071377934173,0.00019326318733845833,2.1354097844935073e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,70.04706,8234.002293577982
122,8234.002293577982,70.19742,70.19741999999997,0.0009768329802462114,0.00019860864826283796,1.9785445601924682e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,70.19742,8234.002293577982
123,8234.002293577982,70.349,70.34899999999999,0.0009385843563057676,0.0002039927446560436,1.8205455587356136e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,70.349,8234.002293577982
124,8170.103092783505,70.44666,70.44666000000001,0.0009712361249526974,0.00019939649381895582,1.9554248383156596e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,70.44666,8170.103092783505
125,8170.103092783505,70.62781,70.62781000000001,0.0009260167948627394,0.0002057618269200789,1.7686309549099209e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,70.62781,8170.103092783505
126,8106.350114416476,70.65414,70.65413999999998,0.0009764437415318537,0.00019866343974399905,1.9769366767744227e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,70.65414,8106.350114416476
127,8042.742857142857,70.80774,70.80774000000002,0.0009950902258781093,0.00019603865331322537,2.053962347344341e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,70.80774,8042.742857142857
128,8042.742857142857,70.83286,70.83285999999993,0.0009889449459711012,0.0001969036982736423,2.02857717033792e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,70.83286,8042.742857142857
129,7979.280821917808,71.11624,71.11624,0.0009762234667171662,0.00019869444689440318,1.9760267564379188e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,71.11624,7979.280821917808
130,7915.963511972634,71.24335,71.24334999999996,0.0010015610584328126,0.00019512778168884846,2.080692330724384e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,71.24335,7915.963511972634
